,company
0,Universitätsklinikum Essen
1,Friedrich-Schiller-Universität Jena
2,Hochschule Aalen
3,Candis
4,AIUI
5,EyeEm
6,Premium AEROTEC
7,Technische Universität Berlin
8,Twyla
9,Bosch Sicherheitssysteme GmbH
10,Philipps-Universität Marburg
11,Universität des Saarlandes
12,Rheinische Friedrich-Wilhelms-Universität Bonn
13,Landesbetrieb Verkehr
14,Julius-Maximilians-Universität Würzburg
15,PricewaterhouseCooper
16,Hochschule Mittweida
17,Open Grid Europe GmbH
18,CENTOGENE AG
19,Otto Group
20,BioVariance GmbH
21,Freie Universität Berlin
22,Friedrich-Alexander-Universität Erlangen-Nürnberg
23,Accenture
24,Helmholtz Zentrum München
25,BTC AG
26,Universitätsklinikum Erlangen
27,Leibniz Universität Hannover
28,Weidmüller
29,SAP SE
30,Thüga AG
31,Max-Planck-Institut für molekulare Genetik
32,Albert-Ludwigs-Universität Freiburg
33,Hochschule Hannover
34,Universität Bremen
35,innogy SE
36,KUKA AG
37,Goethe Universität Frankfurt
38,Technische Universität Kaiserslautern
39,Universitätsklinikum Jena
40,Universität Bayreuth
41,Bunch
42,Rheinisch-Westfälische Technische Hochschule Aachen
43,Infineon Technologies AG
44,Technische Universität Darmstadt
45,Universität Siegen
46,SICK AG
47,Siemens Healthineers
48,Eberhard Karls Universität Tübingen
49,Ruhr Universität Bochum
50,Universitätsmedizin Göttingen
51,Orbica
52,Universität Rostock
53,Christian-Albrechts-Universität zu Kiel
54,Telefónica Deutschland
55,Universität Mannheim
56,Universität Konstanz
57,PSI AG
58,Robotron Datenbank-Software GmbH
59,Hochschule Harz
60,Leverton
61,Helmut-Schmidt-Universität
62,Helmholtz-Zentrum Geesthacht
63,Stadtwerke München GmbH
64,Hochschule Stralsund
65,Technische Universität Dortmund
66,Universität Bielefeld
67,TU Clausthal
68,Technische Universität Ilmenau
69,MAIoT
70,Universität Leipzig
71,Universität zu Köln
72,Universität Göttingen
73,Universität Augsburg
74,DeepEyes
75,Daimler AG
76,Universität Hohenheim
77,KPS AG
78,Konux
79,Universität Ulm
80,Technische Universität München
81,BMW Group
82,htw saar
83,Universität Duisburg-Essen
84,Commerzbank
85,Technische Hochschule Rosenheim
86,CEWE Stiftung & Co. KGaA
87,DITF
88,Universität Stuttgart
89,Fachhochschule Bielefeld
90,Universität Kassel
91,Bauhaus-Universität Weimar
92,Universität zu Lübeck
93,Otto-von-Guericke-Universität Magdeburg
94,Stifterverband
95,Otto-Friedrich-Universität Bamberg
96,Franka Emika
97,Continental AG
98,Universität Passau
99,Robert Bosch GmbH
100,Siemens AG
101,Software AG
